Date	        Open	High	Low	Close	Volume
9/29/2014	78.13	79.199	77.91	79	33940207
9/26/2014	77.6	78.8416	77.33	78.79	28749318
9/25/2014	78.63	78.94	77.13	77.22	37358532
9/24/2014	78.09	78.62	77.51	78.535	30608503
9/23/2014	76.29	78.63	76.04	78.29	36630348
9/22/2014	77	77.53	75.95	76.8	31873144
9/19/2014	77.37	78.3	76.44	77.91	76336490
9/18/2014	76.81	77.33	76.52	77	22905945
9/17/2014	75.96	77.25	75.57	76.43	28477657
9/16/2014	73.52	76.23	73.07	76.08	37593839
9/15/2014	77.15	77.25	73.43	74.58	49498661
9/12/2014	77.99	78.3	77.1	77.48	26631452
9/11/2014	77.06	78.36	77.05	77.92	32140918
9/10/2014	76.52	77.95	76.51	77.43	29755080
9/9/2014	77.56	78.17	76.2	76.67	28676780
9/8/2014	77.27	78.17	77.01	77.89	28092891
9/5/2014	76.12	77.38	75.598	77.26	29301160
9/4/2014	75.9	76.93	75.53	75.95	26496727
9/3/2014	77.12	77.48	75.6	75.83	32273040
9/2/2014	75.01	76.7	74.82	76.68	34722938
8/29/2014	74.31	74.82	74.01	74.82	26193240
8/28/2014	74.05	74.43	73.73	73.855	21873276
8/27/2014	75.28	75.49	74.46	74.63	36178976
8/26/2014	75	75.99	74.73	75.9601	23695867
8/25/2014	74.97	75.28	74.79	75.02	19687626
8/22/2014	74.47	74.73	73.57	74.57	20800976
8/21/2014	74.91	75.19	74.4149	74.57	20041059
8/20/2014	74.96	75.18	74.62	74.81	22850033
8/19/2014	74.81	75.58	74.77	75.29	26596500
8/18/2014	74	74.72	73.96	74.59	23898550
8/15/2014	74.32	74.65	73	73.63	38837920
8/14/2014	73.97	74.38	73.69	74.296	22163750
8/13/2014	73.1	74.25	73.05	73.77	29129184
8/12/2014	73.11	73.3301	72.22	72.83	27304335
8/11/2014	73.46	73.91	73.06	73.44	24513959
8/8/2014	73.27	73.43	72.56	73.06	26995913
8/7/2014	72.95	74	72.7	73.17	38012637
8/6/2014	72.04	73.72	71.79	72.47	30834846
8/5/2014	73.21	73.59	72.18	72.69	34865986
8/4/2014	72.42	73.88	72.36	73.51	30553483
8/1/2014	72.28	73.22	71.55	72.36	43346324
7/31/2014	73.98	74.165	72.44	72.65	43731204
7/30/2014	74.13	75.19	74.13	74.677	36349800
7/29/2014	74.71	74.92	73.4229	73.71	40822659
7/28/2014	75.19	75.5	73.85	74.92	41516029
7/25/2014	75	75.67	74.662	75.19	45705473
7/24/2014	75.94	76.74	74.51	74.98	122922493
7/23/2014	69.76	71.33	69.61	71.29	70986659
7/22/2014	69.74	69.77	68.61	69.27	40144676
7/21/2014	68.84	69.96	68.5	69.4	49240427
7/18/2014	66.86	68.46	66.16	68.4199	42132424
7/17/2014	67.04	67.85	66.04	66.4099	37850859
7/16/2014	67.53	67.94	67.07	67.66	29496133
7/15/2014	67.96	68.0899	66.26	67.165	44106652
7/14/2014	67.12	68.17	66.9	67.9	38360031
7/11/2014	65.24	66.59	64.79	66.34	39098152
7/10/2014	63.33	65.34	63.05	64.8725	44324925
7/9/2014	63.39	65.12	63.15	64.97	51271818
7/8/2014	65.06	65.56	62.21	62.76	68788007
7/7/2014	66.28	66.57	65.12	65.29	28653101
7/3/2014	66.86	67	65.76	66.29	25199590
7/2/2014	68.05	68.3	65.79	66.45	41719402
7/1/2014	67.58	68.44	67.39	68.06	33119511
6/30/2014	67.45	67.92	67.13	67.29	27026316
6/27/2014	67.28	67.7	66.84	67.6	45134317
6/26/2014	67.98	68	66.9	67.13	47593536
6/25/2014	65.58	67.48	65.57	67.44	44085201
6/24/2014	65.36	67.17	65.27	65.72	57225771
6/23/2014	64.32	65.66	64.22	65.37	34424160
6/20/2014	64.46	64.81	63.35	64.5	46074356
6/19/2014	65.46	65.5756	64.21	64.3415	34126766
6/18/2014	64.49	65.75	64.05	65.6	35413283
6/17/2014	64.1	64.88	63.93	64.4	27616599
6/16/2014	64.17	64.88	63.75	64.19	30841841
6/13/2014	64.64	64.97	63.83	64.5	29294917
6/12/2014	65.83	66.47	64.06	64.2901	55541785
6/11/2014	65.32	65.8	64.9	65.781	44104030
6/10/2014	63.53	65.82	63.5	65.77	68995285
6/9/2014	62.39	63.34	61.79	62.88	37216220
6/6/2014	63.38	63.48	62.15	62.5	42365430
6/5/2014	63.61	64.36	62.82	63.186	47219709
6/4/2014	62.43	63.59	62.07	63.34	36431050
6/3/2014	62.59	63.42	62.32	62.87	32052513
6/2/2014	63.22	63.59	62.05	63.08	35918301
5/30/2014	63.95	64.17	62.56	63.3	45118958
5/29/2014	63.86	64.3	63.51	63.83	42272955
5/28/2014	63.38	64.14	62.62	63.51	47691434
5/27/2014	61.57	63.51	61.57	63.48	55501423
5/23/2014	60.43	61.45	60.15	61.351	38153029
5/22/2014	60.91	61.48	60.4	60.52	54038527
5/21/2014	58.56	60.5	58.25	60.49	58718499
5/20/2014	59.48	60.19	58.18	58.56	53732162
5/19/2014	57.84	59.56	57.57	59.21	42994992
5/16/2014	58.31	58.45	57.31	58.0199	47796814
5/15/2014	59.23	59.38	57.52	57.919	56498435
5/14/2014	59.49	60.45	58.95	59.23	47316870
5/13/2014	59.65	60.89	59.51	59.83	48401876
5/12/2014	58.07	59.9	57.98	59.83	48214948
5/9/2014	56.83	57.65	56.38	57.24	52534292
5/8/2014	57.23	58.82	56.5	56.76	61143360
5/7/2014	58.75	59.3	56.26	57.39	78308804
5/6/2014	60.98	61.15	58.49	58.53	55621086
